no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
6656,Kanimiso,Frozen Seafood | Frozen Ready Meals,"Seafood / Japanese food ingredient importers & distributors | | HORECA (restaurants, izakaya, sushi bars) | | Retail buyers (premium grocery, department store, specialty store) | | E-commerce / Home meal replacement (HMR) sellers | | Food manufacturers (sauce/seasoning, ready-to-eat, frozen food) | | Private label / OEM partners","Authentic kanimiso flavor with deep umami and creamy texture | | Versatile: works as topping, spread, and sauce base (mayo/cream) | | Premium seafood ingredient for Japanese cuisine & fusion menus | | Consistent quality suitable for B2B supply (restaurants/distributors) | | Easy to use: ready-to-eat style, saves kitchen prep time | | Great pairing with rice, seaweed, noodles, and alcohol menus",Other HACCP | FDA | MSC(Marine Stewardship Council) | ASC(Aquaculture Stewardship Council) | FSSC22000,,"GOREMI CO.,LTD.",https://www.goremipro.com,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Korea Agro-Fisheries & Food Trade Corporation,National Pavilion,E5-A48-D06,"Kanimiso, Kanimiso Mild, Kanimiso Mayo, Red snow crab cream",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6656.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6656
6663,Black Rose - Blends Collection,Still wines - red,"Wine Importer, Wholesale, Retail",Spanish Wine | Toro Region | Single grape variety,,We don't have an importer,BODEGAS CORAL DUERO,http://www.coralduero.com/en/home/,Overseas exhibitors | Exportable,,S4-H4,http://www.coralduero.com/en/home/,FOODEX WINE,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6663.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6663
6672,EnVena - Blends Toro Rising,Still wines - red,Spanish Wine | Toro Region | Single grape variety,Spanish Wine | Toro Region | Single grape variety,,We have an importer,BODEGAS CORAL DUERO,http://www.coralduero.com/en/home/,Overseas exhibitors | Exportable,,S4-H4,http://www.coralduero.com/en/home/,FOODEX WINE,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6672.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6672
6705,Kanimiso mild & Kanimiso mayo & Crab-rich Kanimiso,Frozen Seafood | Frozen Ready Meals,"Seafood / Japanese food ingredient importers & distributors | | HORECA (restaurants, izakaya, sushi bars) | | Retail buyers (premium grocery, department store, specialty store) | | E-commerce / Home meal replacement (HMR) sellers | | Food manufacturers (sauce/seasoning, ready-to-eat, frozen food) | | Private label / OEM partners","Authentic kanimiso flavor with deep umami and creamy texture | | Versatile: works as topping, spread, and sauce base (mayo/cream) | | Premium seafood ingredient for Japanese cuisine & fusion menus | | Consistent quality suitable for B2B supply (restaurants/distributors) | | Easy to use: ready-to-eat style, saves kitchen prep time | | Great pairing with rice, seaweed, noodles, and alcohol menus",Other HACCP | FDA | MSC(Marine Stewardship Council) | ASC(Aquaculture Stewardship Council) | FSC22000,,"GOREMI CO.,LTD.",https://www.goremipro.com,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Korea Agro-Fisheries & Food Trade Corporation,National Pavilion,E5-A48-D06,"Kanimiso, Kanimiso Mild, Kanimiso Mayo, Red snow crab cream",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6705.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6705
6738,Dried Fruit,Cakes / Dessert | Dried Fruits | Vegetarian | Dried Fruit & Vegetables | Rice Crackers & Healthy Snacks,For people who like delicate healthy snacks/dessert.,Natural and Additive Free. | Keep original flavor and nutrition of the fruits. | Cooperate with local farmers and select ingredients elaborately.,Other HACCP | FSSC 22000,We don't have an importer,"BEANS GROUP FOODS SCIENCE AND TECHNOLOGY CO., LTD.",https://www.beans-family.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A02-00,"Green Peas - Original / Wasabi / Teriyaki / Garlic / Spicy, | Mixed Nuts and Rice Crackers, | Almond Chocolate, | Berry Yogurt Cashew Nuts, | Crispy Seaweed with Almond Flakes, | Dried Fruit - Pineapple / Guava / Mango, | Pineapple Cake, | Jelly Gummy - Kueilingao / Herbal / Longan, | Fruit Jelly - Lemon / Passion Fruit / Cranberry+Blueberry / Strawberry, | Crunch Berry Cashew Nut, | Crunch Curry Cashew Nut.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6738.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6738
6765,FRESH TRUFFLES TUBER MELANOSPORUM,Mushroom,"Luxury Restaurants and Fine Dining: Essential for Michelin-starred chefs and gourmet establishments seeking the finest seasonal ingredients. | Gourmet Retailers and Specialty Stores: Perfect for high-end delicatessens and specialty food shops catering to premium clientele. | Hospitality and Catering: Ideal for luxury hotels, private dining, and event organizers elevating menus for exclusive banquets and weddings. | Export and International Markets: Targeting regions with a strong demand for fresh truffles, such as Europe, North America, and Asia. | Corporate and Luxury Gifts: A premium choice for bespoke gift hampers and high-end corporate gifting. | Home Gourmet Enthusiasts: Attracts food lovers passionate about recreating fine dining experiences at home. | E-commerce Platforms: A sought-after product for online gourmet retailers offering fresh, perishable luxury ingredients. | Artisanal Producers: Used in creating truffle-infused oils, sauces, and specialty gourmet products. |","Unmatched Quality: Renowned for their intense aroma, rich flavor, and delicate texture, elevating gourmet dishes to the highest standard. | Seasonal Luxury: A highly coveted ingredient available fresh during the truffle season, offering exclusivity and premium appeal. | Versatile Use: Perfect for shaving over pasta, risotto, eggs, meats, or adding depth to sauces and appetizers. | Gourmet Demand: A must-have for Michelin-starred chefs and fine dining establishments seeking exceptional ingredients. | Retail Appeal: Highly sought after in luxury food stores and specialty markets for their rarity and culinary prestige. | Global Export Value: Prized in international markets, particularly in regions with strong gourmet traditions, such as Europe, Asia, and North America. | Gift-Worthy: An exceptional addition to luxury gift baskets or bespoke corporate hampers. | E-commerce Ready: A premium product for online gourmet retailers targeting discerning, tech-savvy customers.",EU-HACCP | IFS CERTIFICATION,We don't have an importer,TRUFFLES MANJARES DE LA TIERRA,https://www.manjaresdelatierra.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ICEX SPAIN TRADE AND INVESTMENT,National Pavilion,E2-A21-53,"Tartufata, Truffle Paste, Preserved Tuber Melanosporum, Extra Virgin Olive Oil with Truffle tuber melanosporum, Balsamic Vinegar with black truffle tuber melanosporum, Blac winter truffle slices, Preserved summer truffles, Summer truffles slices, truffle tuber melanosmporum premium juice.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6765.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6765
6771,TARTUFATA TRUFFLE PASTE 5% SUMMER TRUFFLE WITH OLIVE OIL,"Soy Sauce | Miso | Powdered Seasoning | Liquid Seasoning | Vinegar | Spreads, Honey & Jams | Solid Seasonings | Rice Toppings & Ochazuke Mixes","Luxury Retailers and Gourmet Stores: High-end delicatessens and premium food boutiques catering to customers seeking refined and versatile truffle-based products. | Fine Dining and Gastronomy: Ideal for Michelin-starred restaurants and upscale bistros, adding depth of flavor to sauces, spreads, and gourmet dishes. | Hospitality and Event Catering: Luxury hotels, exclusive resorts, and event planners using truffle paste to enhance menus for banquets, weddings, and high-profile gatherings. | Gift and Corporate Hampers: A sophisticated addition to curated gift boxes and corporate hampers, perfect for holidays, anniversaries, or special occasions. | Export and International Distribution: Distributors focused on gourmet products for global markets, especially in regions like Europe, North America, and Asia with a strong gourmet culture. | Home Gourmet Enthusiasts: Targeting food lovers and home chefs seeking premium, ready-to-use truffle products to elevate their cooking. | E-commerce Platforms: Online retailers offering truffle paste to a tech-savvy audience looking for convenient access to luxurious culinary products.","Gourmet Stores and Luxury Retailers: A premium product designed for high-end delicatessens and specialty food stores appealing to truffle lovers and culinary enthusiasts. | Fine Dining and Michelin-Starred Restaurants: An essential addition for chefs seeking high-quality, ready-to-use truffle ingredients to elevate gourmet dishes. | Hospitality and Event Catering: Perfect for luxury hotels, resorts, and event planners enhancing menus with truffle-forward options for upscale events and banquets. | Corporate and Luxury Gifts: A refined choice for curated gift baskets, corporate hampers, and bespoke presents for holidays or special occasions. | International Gourmet Distribution: Highly sought-after by global distributors targeting markets with a demand for artisanal and gourmet truffle products. | E-commerce Platforms: An attractive option for online gourmet retailers catering to a tech-savvy audience seeking exclusive culinary items. | Artisanal Product Integration: Ideal for producers crafting premium sauces, spreads, or dressings with a truffle component.",EU-HACCP | IFS CERTIFICATION,We don't have an importer,TRUFFLES MANJARES DE LA TIERRA,https://www.manjaresdelatierra.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ICEX SPAIN TRADE AND INVESTMENT,National Pavilion,E2-A21-53,"Tartufata, Truffle Paste, Preserved Tuber Melanosporum, Extra Virgin Olive Oil with Truffle tuber melanosporum, Balsamic Vinegar with black truffle tuber melanosporum, Blac winter truffle slices, Preserved summer truffles, Summer truffles slices, truffle tuber melanosmporum premium juice.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6771.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6771
6789,Beef Jerky American style ORIGINAL 25g,"Dried Meat | Ready-to-eat Foods, Sealed Packaged Foods (e.g., curry, rice bowl toppings) | Rice Crackers & Healthy Snacks","Importers, wholesalers, retail, HoReCa, fitness centers, athletes, military, trekking...",The product belongs to the snack program and is intended for immediate consumption.,EU-HACCP,We don't have an importer,CASUM,https://beefjerky.si/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,Beef Jerky dry beef,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6789.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6789
6803,Altum Cuvee Orange 2019,Organic wines,"Traders of biodynamic wines | Hotels, Restaurants, Wine experts",We are looking for a wholesaler for our biodynamic wines in the Japanese market and also in neighboring markets,EU Organic Certification | DEMETER biodynamic certificate,We don't have an importer,Vinopolis LLC,https://www.altum.si/en,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"Altum Sauvignon 2019, Altum Sauvignon 2020, Altum Cuvee Orange 2019, Altum Cuvee Orange 2020",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6803.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6803
6809,Seasoned Abalone,Frozen Seafood | Frozen Ready Meals | Processed seafood products,"High-end Dining & Banquets: Perfect for wedding venues, upscale Chinese restaurants, and hotel catering for cold platters or signature entrees. | | Japanese Cuisine & Sushi Bars: Ideal for establishments requiring consistent, high-quality abalone for appetizers (Chinmi) or sushi toppings. | | Premium Retail & Gift Markets: Targeted at high-end supermarkets, boutique e-commerce platforms, and the festive gift box market. | | Airline & Institutional Catering: Suitable for procurement units needing standardized, ready-to-eat luxury ingredients with strict food safety assurance.","Premium Species Selection: We use high-quality Haliotis discus hannai (Ezo Abalone), known for its thick meat and tender yet elastic texture. | | Signature Braising Technique: Slow-cooked in our secret savory-sweet sauce to ensure the flavor penetrates deeply while locking in the natural umami of the sea. | | Convenience Meets Quality: Pre-cooked and flash-frozen to save kitchens hours of labor-intensive cleaning and simmering without sacrificing gourmet quality. | | Global Safety Standards: Produced in modern facilities certified by HACCP and ISO, meeting rigorous international export and food safety requirements.",ISO22000 | US-HACCP,,LIAN RUEY ENTERPRISE,https://www.lianhung.com.tw,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A30-123,"Lobster Oil, Lobster Glaze, Lobster Stock, Topshell Slice, Seasoned Tobiko, Hokkigai, Sakura Ebi,Sirasu , Seasoned Flying Squid With Fish Roe, Cuttlefish Roll,Kuro Mirugai Salad.",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6809.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6809
6810,Beef Jerky SPORT 50g,"Health & Wellness Products | Dried Meat | Ready-to-eat Foods, Sealed Packaged Foods (e.g., curry, rice bowl toppings) | Rice Crackers & Healthy Snacks","Importers, wholesalers, retail, HoReCa, fitness centers, athletes, military, trekking...",The product belongs to the snack program and is intended for immediate consumption.,EU-HACCP,We don't have an importer,CASUM,https://beefjerky.si/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,Beef Jerky dry beef,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173704961347.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6810
6817,BeeMaid Honey (Premium Collection),"Gluten-free | Health & Wellness Products | Vegetarian | Kosher | Organic Products | Spreads, Honey & Jams | Rice Crackers & Healthy Snacks","BeeMaid Honey's Premium Collection, featuring Amber, Clover, and Raw varieties, is crafted for honey enthusiasts with a discerning palate. Ideal for those who appreciate the natural complexities of pure Canadian honey, this collection caters to home cooks, chefs, and culinary adventurers who love to experiment with both sweet and savoury creations.","Since 1954, BeeMaid Honey has been a trusted name in kitchens and grocery stores across Canada and beyond. Proudly owned by a cooperative of Canadian beekeepers from Western Canada, we are dedicated to delivering the finest 100% pure and authentic Canadian honey. Each bottle reflects our commitment to quality and the passion of the beekeepers who harvest it. | | Renowned for its distinct sweet floral notes, and as a perfect as a substitute for refined sugars, BeeMaid Honey is a preferred choice for families, chefs, and food manufacturers alike. From enhancing everyday recipes to inspiring culinary creations, our honey embodies the natural goodness of Canada. Discover why BeeMaid Honey has been a global favourite for over 70 years. Visit us to explore our products and experience the care of hive to home quality you can taste.","EU-HACCP | US-HACCP | FSMA | FDA | GMP | SQF (GFSI), True Source, Kosher OU, Safe Food For Canadians Act",We don't have an importer,Bee Maid Honey Limited,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A07-10,,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6817.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6817
6818,BeeMaid Honey (Food Service),"Gluten-free | Health & Wellness Products | Vegetarian | Kosher | Spreads, Honey & Jams | Rice Crackers & Healthy Snacks","BeeMaid Honey’s food service products are designed to meet the diverse needs of food industry professionals, from private label partners and manufacturers to chefs and restaurant operators.","Since 1954, BeeMaid Honey has been a trusted name in kitchens and grocery stores across Canada and beyond. Proudly owned by a cooperative of Canadian beekeepers from Western Canada, we are dedicated to delivering the finest 100% pure and authentic Canadian honey. Each bottle reflects our commitment to quality and the passion of the beekeepers who harvest it. | | Renowned for its distinct sweet floral notes, and as a perfect as a substitute for refined sugars, BeeMaid Honey is a preferred choice for families, chefs, and food manufacturers alike. From enhancing everyday recipes to inspiring culinary creations, our honey embodies the natural goodness of Canada. Discover why BeeMaid Honey has been a global favourite for over 70 years. Visit us to explore our products and experience the care of hive to home quality you can taste.","EU-HACCP | US-HACCP | FSMA | FDA | GMP | SQF (GFSI), True Source, Kosher OU, Safe Food For Canadians Act",We don't have an importer,Bee Maid Honey Limited,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A07-10,,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6818.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6818
6826,Old Jarvie H&Y Wine Set Australian wine Red sparkling wine,Still wines - red | Sparkling wines,"Liquor retailers, department stores, imported food retailers, bars, taverns, restaurants, eateries","Our principle in the vineyard is about land first, soil nutrition and following nature. Our vineyard locations are scattered in the cooler part of McLaren Vale, along the foothills east of the town. Wines made essentially by expressing the vineyard site and the underlying complex geology and cool maritime influence of the Gulf Saint Vincent. As well as vine tending and sustainable practices, we focus on the whole biodiversity and eco-system of our properties.",,We have an importer,"BIG PICTURE INTERNATIONAL, Inc.",https://item.rakuten.co.jp/bpihotsky/c/0000000184/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Government of South Australia,National Pavilion,E3-L18-00,"We will feature a broad array of high quality foods and beverages from South Australia including raw and Manuka honeys, white, red and sparkling wines, oatmeal and several varieties of gin.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6826.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6826
6903,Pickled slice radish with rice bran flavor,Frozen Ready Meals | Vegan,"Retail industry, Restaurants, Food factories, Supermarkets, EC","This bran pickled TAKUAN is made from dried Japanese radish from Miyazaki. It has a simple flavor, and is pickled in rice bran, salt, Sanonsugar, plum vinegar from Kishunankou-ume, and rice starch syrup.",ISO22000 | JAPAN VEGAN SOCIETY,We don't have an importer,"MARUAI FOODS CO., Ltd.",,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Vegan Foods Friend Japan,Exports from Japan,S1-B01-02,,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173709638344.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6903
6912,Mijungdang Rice Tteokbokki,Frozen Ready Meals,Supermarket | Convenience store | Online commerce,60 years of secret recipe,ISO9001 | Other HACCP,We don't have an importer,"MIJUNG CO., LTD.",https://www.mijungdang.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Korea Agro-Fisheries & Food Trade Corporation,National Pavilion,E5-A20,"Rice noodle, Topokki, Sauce",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_6912.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6912
6922,Mijungdang Rice noodles in Anchovy,Noodles,Supermarket | Convenience store | Online commerce,Noodles made of rice | 60 years of secret recipe,ISO9001 | Other HACCP,We don't have an importer,"MIJUNG CO., LTD.",https://www.mijungdang.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Korea Agro-Fisheries & Food Trade Corporation,National Pavilion,E5-A20,"Rice noodle, Topokki, Sauce",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173709959022.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6922
6950,Creamy Peach Turnover,Frozen Baked Goods,"Traditional trade, food service, modern trade","Supermarket, HoReCa, restaurant, bakery, food service",,We have an importer,MANTINGA BAKERY & FOOD SOLUTIONS,https://www.mantinga.lt/en,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Lithuania LitFOOD,National Pavilion,E2-C17-00,"MANTINGA – the largest producer of bread, snacks and frozen products in the Baltic States. Assortment of more than 1000 products, varying from bread to donuts and always counting. As one of the most innovative and biggest food manufacturers in the Baltic states we are ready to fulfill our customers needs. | | ● Export to 40 countries worldwide; | ● 4 modern factories, design to produce frozen top quality bread, baguettes, puff pastry, donuts, pizzas and snacks; | ● 3 branches: Latvia, Estonia, Ukraine; | ● 2 representatives: Sweden, Poland; | ● Strong in developing Tailor-made products and producing Private label products; | ● 7 quality certificates (FSCC, IFS, BRC, ISO22000 and ISO14001, RSPO certificates and the Risk factor analysis and critical management points system allow to offer top quality products). |",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173710574649.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6950
6967,Eidam cheese,Cheese,"Semi-hard, ripened, full-fat milk product in the form of salami, 45 % fat in dry matter. It has a soft, cheese-milk flavor, delicate flavor and not too salty taste. It is therefore suitable for use in cold and hot dishes; it easily creates a harmony with other flavors. It is ideal for frying.",,ISO9001 | ISO22000 | EU-HACCP | HALAL,We don't have an importer,KOLIBA DAIRY,https://kolibamilk.sk/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Slovakia,National Pavilion,E2-Q30-00,"Flavoured WPC 1 kg, Flavoured WPC 1 kg Instant, Flavoured WPC 1 kg lactose free, Dried Whey Protein Concentrate (also Instant and Lactose free), Dried Permeate powder, Lactose Monohydrate (100 mash, 200 mash), Eidam cheese, Mozzarella cheese",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173710818597.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=6967
7064,Frozen Pineapple Chunks,Frozen Fruit & Vegetables,,|,"FDA | USDA Organic Certification | EU Organic Certification | BRC, Kosher, FSMA, BIO, ISO 50001:2018, NOP-USA Organic certified, Carbon-Neutral",We don't have an importer,La Paz Frozen Tropical Fruits,https://www.lapazfruits.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Essential Costa Rica,National Pavilion,E5-U11-Essential Costa Rica,IQF Pineapple Chunks 1/12 | IQF Pineapple Chunks 1/8 | IQF Pineapple Tidbits 1/16 | IQF Pineapple Dices 10x10 | IQF Mango Chunks | IQF Cantaloupe Melon Chunks 20mm | IQF Honeydew Melon Chunks 20mm | IQF Banana Slices | Frozen Yucca (Cassava) Chunks,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7064.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7064
7069,BUNGE PROFORMANCE HIGH STABILITY OIL 17.3L,Vegetable & Animal Oils & Fats,"Restaurants, Delicatessen, Hotels, fast-food restaurants, industrial kitchens.","Proformance® Canola Blend Frying Oil is a high-stability oil that extends fry life and reduces build-up, saving operators money and time while improving safety | by reducing fry oil change-overs.",US-HACCP | HALAL,We don't have an importer,Bunge Canada,https://www.bunge.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A07-34,"Canola Oil, shortenings, and Margarines for Supermarkets and food service. And this year launching high-performance frying oil blend and Plant-butter alternative (BeLeaf).",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7069.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7069
7079,SHORT PLATE,Unprocessed Meat,"Gastronomic, restaurants, for food consumption, food, food service, supermarket.","Meat product, quality meat, beef.",US-HACCP | GMP | TIFF,We have an importer,BONAPRIME,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,"SHORT PLATE, RIB EYE, STRIPLOIN, TENDERLOIN, CHUCK EYE ROLL, HANGING TENDER, TONGUE, TOMAHAWK.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173714981379.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7079
7083,RIB EYE ROLL,Unprocessed Meat,"Gastronomic, restaurants, for food consumption, food, food service, supermarket.","Meat product, quality meat, beef.",US-HACCP | GMP | TIF,We have an importer,BONAPRIME,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,"SHORT PLATE, RIB EYE, STRIPLOIN, TENDERLOIN, CHUCK EYE ROLL, HANGING TENDER, TONGUE, TOMAHAWK.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173715009002.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7083
7085,Beleaf / Plant-Butter alternative,Baked Goods | Cakes / Dessert | Bread | Japanese sweets | Gluten-free,"Bakery, Supermarkets","BeLeaf, a revolutionary plant-based butter alternative. BeLeaf delivers the rich taste and satisfying texture of traditional butter, but is made entirely from plants. This product caters to the growing demand for delicious, sustainable, and health-conscious alternatives to dairy products.",US-HACCP | HALAL,We don't have an importer,Bunge Canada,https://www.bunge.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A07-34,"Canola Oil, shortenings, and Margarines for Supermarkets and food service. And this year launching high-performance frying oil blend and Plant-butter alternative (BeLeaf).",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7085
7093,CAPRI CANOLA OIL 17.3L,Vegetable & Animal Oils & Fats,"Restaurants, Delicatessen, Hotels, Industrial Kitchens, Fast-food restaurants.","Capri Canola Oil is praised for its light texture, delicate flavor, and high smoke point, making it suitable for a wide range of cooking methods including deep-frying, stir-frying, slow cooking, and baking. It's made from premium canola seeds sourced from Canada.",US-HACCP | HALAL,We have an importer,Bunge Canada,https://www.bunge.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A07-34,"Canola Oil, shortenings, and Margarines for Supermarkets and food service. And this year launching high-performance frying oil blend and Plant-butter alternative (BeLeaf).",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173715085818.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7093
7097,BUNGE 80% FAT MARGARINE,"Spreads, Honey & Jams",Supermarkets,80% Fat high-quality Canola Margarine. We OEM product for your company (Private label).,Other HACCP | HALAL,We don't have an importer,Bunge Canada,https://www.bunge.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A07-34,"Canola Oil, shortenings, and Margarines for Supermarkets and food service. And this year launching high-performance frying oil blend and Plant-butter alternative (BeLeaf).",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173715142986.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7097
7107,Wasabi Okaki,Rice Crackers & Healthy Snacks,,,,We don't have an importer,"Minoya Arare Seizohonpo Co.,Ltd.",https://www.minoya-arare.com/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Kanagawa Industrial Promotion Center,Local Specialities in Japan,S2-C18-00,"Established in Yokohama in 1929, Minoya Arare Seizo-Honpo is a rice crackers manufacturer. We specialize in manufacturing arare, okaki, and kaki no tane. | The dough is made from 100% pure glutinous rice and finished with a sauce based on special dark soy sauce, white soy sauce, etc. brewed in Nagano Prefecture for our company. | In 1967, “Cocktail Crackers” won the first gold medal for rice crackers at the 6th Monde Selection. Cocktail Crackers” has been exported and enjoyed not only in Japan but also all over the world for many years.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173715387369.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7107
